RefSeq mRNA Accession	GO - Cellular Component	Illumina ID	UniProt Accession	
NM_009908	GO:0005634 [Name: nucleus]; GO:0016020 [Name: membrane]	ILMN_2683128 [Chip: ]	Q99KK2	
NM_009909	GO:0016020 [Name: membrane]; GO:0005622 [Name: intracellular]; GO:0016021 [Name: integral component of membrane]; GO:0005829 [Name: cytosol]; GO:0042629 [Name: mast cell granule]; GO:0005886 [Name: plasma membrane]; GO:0009986 [Name: cell surface]	ILMN_1223834 [Chip: ]; ILMN_2737157 [Chip: ]	P35343	
NM_009910	GO:0005622 [Name: intracellular]; GO:0009986 [Name: cell surface]; GO:0009897 [Name: external side of plasma membrane]; GO:0016020 [Name: membrane]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005829 [Name: cytosol]	ILMN_2658786 [Chip: ]	O88410	
NM_009911	GO:0070062 [Name: extracellular exosome]; GO:0005886 [Name: plasma membrane]; GO:0005764 [Name: lysosome]; GO:0005911 [Name: cell-cell junction]; GO:0005769 [Name: early endosome]; GO:0030054 [Name: cell junction]; GO:0016021 [Name: integral component of membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0009986 [Name: cell surface]; GO:0005768 [Name: endosome]; GO:0016023 [Name: cytoplasmic membrane-bounded vesicle]; GO:0031252 [Name: cell leading edge]; GO:0016020 [Name: membrane]; GO:0005770 [Name: late endosome]; GO:0030426 [Name: growth cone]; GO:0031410 [Name: cytoplasmic vesicle]	ILMN_2630460 [Chip: ]; ILMN_2630459 [Chip: ]	P70658	
NM_009912	GO:0043025 [Name: neuronal cell body]; GO:0016021 [Name: integral component of membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]	ILMN_2594763 [Chip: ]	P51675	
NM_009913	GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0009986 [Name: cell surface]; GO:0005886 [Name: plasma membrane]	ILMN_2623009 [Chip: ]	Q9WUT7	
NM_009914	GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0005768 [Name: endosome]; GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0005622 [Name: intracellular]	ILMN_2680290 [Chip: ]	P51678	
NM_009915	GO:0016021 [Name: integral component of membrane]; GO:0005886 [Name: plasma membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0016020 [Name: membrane]; GO:0009897 [Name: external side of plasma membrane]	ILMN_1226563 [Chip: ]; ILMN_1222795 [Chip: ]	P51683	
NM_009916	GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0009897 [Name: external side of plasma membrane]; GO:0043025 [Name: neuronal cell body]	ILMN_2753620 [Chip: ]	P51680	
NM_009917	GO:0009897 [Name: external side of plasma membrane]; GO:0009986 [Name: cell surface]; GO:0005768 [Name: endosome]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005737 [Name: cytoplasm]	ILMN_2685393 [Chip: ]; ILMN_2725020 [Chip: ]; ILMN_2685392 [Chip: ]	P51682	
NM_009918	GO:0030425 [Name: dendrite]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0043025 [Name: neuronal cell body]; GO:0001750 [Name: photoreceptor outer segment]; GO:0042622 [Name: photoreceptor outer segment membrane]; GO:1902495 [Name: transmembrane transporter complex]; GO:0016020 [Name: membrane]; GO:0043204 [Name: perikaryon]; GO:0016021 [Name: integral component of membrane]	ILMN_1214994 [Chip: ]; ILMN_1237058 [Chip: ]	Q9JJZ8	
NM_009919	GO:0005794 [Name: Golgi apparatus]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0005575 [Name: cellular_component]; GO:0005783 [Name: endoplasmic reticulum]	ILMN_1237640 [Chip: ]; ILMN_2838859 [Chip: ]; ILMN_2420894 [Chip: ]	O35372	
NM_009920	GO:0032281 [Name: AMPA glutamate receptor complex]; GO:0030054 [Name: cell junction]; GO:0042995 [Name: cell projection]; GO:0005886 [Name: plasma membrane]; GO:0016021 [Name: integral component of membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0030425 [Name: dendrite]; GO:0045211 [Name: postsynaptic membrane]; GO:0043198 [Name: dendritic shaft]; GO:0043197 [Name: dendritic spine]; GO:0016020 [Name: membrane]; GO:0014069 [Name: postsynaptic density]; GO:0045202 [Name: synapse]	ILMN_1252776 [Chip: ]	O35089	
NM_009921	GO:0005576 [Name: extracellular region]; GO:0005737 [Name: cytoplasm]; GO:0005615 [Name: extracellular space]; GO:0005622 [Name: intracellular]; GO:0042581 [Name: specific granule]; GO:0042995 [Name: cell projection]; GO:0070062 [Name: extracellular exosome]	ILMN_2766604 [Chip: ]	P51437	
NM_009922	GO:0005925 [Name: focal adhesion]; GO:0005856 [Name: cytoskeleton]	ILMN_1221148 [Chip: ]	B2RSH3; Q8CBQ2; Q08091	
NM_009923	GO:0005886 [Name: plasma membrane]; GO:0005654 [Name: nucleoplasm]; GO:0005741 [Name: mitochondrial outer membrane]; GO:0035748 [Name: myelin sheath abaxonal region]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0031143 [Name: pseudopodium]; GO:0005615 [Name: extracellular space]; GO:0005634 [Name: nucleus]; GO:0035749 [Name: myelin sheath adaxonal region]; GO:0042995 [Name: cell projection]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005902 [Name: microvillus]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0005874 [Name: microtubule]; GO:0043209 [Name: myelin sheath]	ILMN_1257097 [Chip: ]; ILMN_2802263 [Chip: ]; ILMN_1227020 [Chip: ]	P16330	
NM_009924	GO:0016021 [Name: integral component of membrane]; GO:0031234 [Name: extrinsic component of cytoplasmic side of plasma membrane]; GO:0030425 [Name: dendrite]; GO:0043005 [Name: neuron projection]; GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0042995 [Name: cell projection]; GO:0043025 [Name: neuronal cell body]	ILMN_1257126 [Chip: ]; ILMN_2794526 [Chip: ]; ILMN_1235201 [Chip: ]	P47936	
NM_009925	GO:0005576 [Name: extracellular region]; GO:0005581 [Name: collagen trimer]; GO:0005938 [Name: cell cortex]; GO:0005578 [Name: proteinaceous extracellular matrix]	ILMN_2675388 [Chip: ]; ILMN_2675386 [Chip: ]	Q05306	
NM_009926	GO:0005576 [Name: extracellular region]; GO:0005592 [Name: collagen type XI trimer]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005581 [Name: collagen trimer]	ILMN_1222218 [Chip: ]; ILMN_1246253 [Chip: ]; ILMN_2865074 [Chip: ]	Q64739	
NM_009928	GO:0005576 [Name: extracellular region]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0031012 [Name: extracellular matrix]; GO:0005604 [Name: basement membrane]; GO:0005615 [Name: extracellular space]; GO:0070062 [Name: extracellular exosome]; GO:0005581 [Name: collagen trimer]	ILMN_1222111 [Chip: ]	O35206	
NM_009929	GO:0005581 [Name: collagen trimer]; GO:0005604 [Name: basement membrane]; GO:0031012 [Name: extracellular matrix]; GO:0070062 [Name: extracellular exosome]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2735184 [Chip: ]; ILMN_2937542 [Chip: ]; ILMN_1225839 [Chip: ]	P39061	
NM_009930	GO:0005576 [Name: extracellular region]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005581 [Name: collagen trimer]; GO:0031012 [Name: extracellular matrix]; GO:0005586 [Name: collagen type III trimer]; GO:0005615 [Name: extracellular space]	ILMN_1258629 [Chip: ]; ILMN_2683958 [Chip: ]	P08121	
NM_009931	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0031012 [Name: extracellular matrix]; GO:0005587 [Name: collagen type IV trimer]; GO:0005576 [Name: extracellular region]; GO:0005581 [Name: collagen trimer]; GO:0005604 [Name: basement membrane]	ILMN_2621643 [Chip: ]	P02463	
NM_009932	GO:0005581 [Name: collagen trimer]; GO:0005587 [Name: collagen type IV trimer]; GO:0005576 [Name: extracellular region]; GO:0005604 [Name: basement membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0031012 [Name: extracellular matrix]; GO:0070062 [Name: extracellular exosome]; GO:0005578 [Name: proteinaceous extracellular matrix]	ILMN_2672978 [Chip: ]; ILMN_2822579 [Chip: ]	P08122	
NM_009933	GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0043234 [Name: protein complex]; GO:0005765 [Name: lysosomal membrane]; GO:0042383 [Name: sarcolemma]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0031012 [Name: extracellular matrix]; GO:0005581 [Name: collagen trimer]; GO:0005576 [Name: extracellular region]	ILMN_2768087 [Chip: ]; ILMN_1238198 [Chip: ]; ILMN_1259388 [Chip: ]; ILMN_2589422 [Chip: ]	Q04857	
NM_009935	GO:0005581 [Name: collagen trimer]; GO:0005578 [Name: proteinaceous extracellular matrix]; GO:0005615 [Name: extracellular space]; GO:0031012 [Name: extracellular matrix]; GO:1903561 [Name: extracellular vesicle]; GO:0070062 [Name: extracellular exosome]; GO:0042383 [Name: sarcolemma]	ILMN_2689207 [Chip: ]; ILMN_1249220 [Chip: ]; ILMN_2716023 [Chip: ]	-	
NM_009936	GO:0005594 [Name: collagen type IX trimer]	ILMN_2597314 [Chip: ]; ILMN_1259152 [Chip: ]	-	
NM_009938	GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]; GO:0030126 [Name: COPI vesicle coat]; GO:0005576 [Name: extracellular region]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0016020 [Name: membrane]; GO:0005615 [Name: extracellular space]; GO:0005794 [Name: Golgi apparatus]; GO:0030117 [Name: membrane coat]	ILMN_2681906 [Chip: ]; ILMN_1228135 [Chip: ]; ILMN_1247353 [Chip: ]	Q8CIE6; F8WHL2; Q8BTF0	
NM_009939	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0008180 [Name: COP9 signalosome]	ILMN_2740523 [Chip: ]; ILMN_2514543 [Chip: ]	P61202	
NM_009940	GO:0005739 [Name: mitochondrion]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]; GO:0005743 [Name: mitochondrial inner membrane]	ILMN_2729263 [Chip: ]	P97478	
NM_009941	GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0031966 [Name: mitochondrial membrane]	ILMN_1249867 [Chip: ]; ILMN_2600274 [Chip: ]	P19783	
NM_009942	GO:0005739 [Name: mitochondrion]; GO:0005743 [Name: mitochondrial inner membrane]	ILMN_1241962 [Chip: ]; ILMN_2721648 [Chip: ]; ILMN_2772319 [Chip: ]	-	
NM_009943	GO:0016020 [Name: membrane]; GO:0005739 [Name: mitochondrion]; GO:0005751 [Name: mitochondrial respiratory chain complex IV]; GO:0005743 [Name: mitochondrial inner membrane]	ILMN_2629581 [Chip: ]	P43023	
NM_009944	GO:0005746 [Name: mitochondrial respiratory chain]; GO:0005739 [Name: mitochondrion]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]	-	P56392	
NM_009945	GO:0005739 [Name: mitochondrion]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0005746 [Name: mitochondrial respiratory chain]; GO:0016020 [Name: membrane]; GO:0070062 [Name: extracellular exosome]	ILMN_2733698 [Chip: ]	P48771	
NM_009946	GO:0043025 [Name: neuronal cell body]; GO:0043195 [Name: terminal bouton]; GO:0045202 [Name: synapse]; GO:0005737 [Name: cytoplasm]; GO:0030425 [Name: dendrite]; GO:0031201 [Name: SNARE complex]; GO:0070033 [Name: synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex]	ILMN_1238436 [Chip: ]	P84086	
NM_009947	GO:0005768 [Name: endosome]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005737 [Name: cytoplasm]; GO:0030424 [Name: axon]; GO:0045334 [Name: clathrin-coated endocytic vesicle]; GO:0005886 [Name: plasma membrane]; GO:0030425 [Name: dendrite]; GO:0016020 [Name: membrane]; GO:0042995 [Name: cell projection]; GO:0070062 [Name: extracellular exosome]	ILMN_1232850 [Chip: ]	Q9Z140	
NM_009948	GO:0005739 [Name: mitochondrion]; GO:0016020 [Name: membrane]; GO:0005741 [Name: mitochondrial outer membrane]; GO:0016021 [Name: integral component of membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_2709240 [Chip: ]; ILMN_1227666 [Chip: ]	Q924X2	
NM_009949	GO:0016020 [Name: membrane]; GO:0005654 [Name: nucleoplasm]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0005739 [Name: mitochondrion]; GO:0005730 [Name: nucleolus]	ILMN_2775123 [Chip: ]; ILMN_2772599 [Chip: ]; ILMN_2775122 [Chip: ]; ILMN_2885532 [Chip: ]	P52825	
NM_009950	GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]	ILMN_1212607 [Chip: ]	O88843	
NM_009951	GO:0070937 [Name: CRD-mediated mRNA stability complex]; GO:0005737 [Name: cytoplasm]; GO:0030425 [Name: dendrite]; GO:0005634 [Name: nucleus]; GO:0010494 [Name: cytoplasmic stress granule]; GO:0042995 [Name: cell projection]; GO:0030529 [Name: ribonucleoprotein complex]	ILMN_1243929 [Chip: ]; ILMN_3006804 [Chip: ]; ILMN_2417376 [Chip: ]; ILMN_2551187 [Chip: ]	O88477	
NM_009953	GO:0016021 [Name: integral component of membrane]; GO:0005791 [Name: rough endoplasmic reticulum]; GO:0005886 [Name: plasma membrane]; GO:0030424 [Name: axon]; GO:0005783 [Name: endoplasmic reticulum]; GO:0009986 [Name: cell surface]; GO:0043025 [Name: neuronal cell body]; GO:0043196 [Name: varicosity]; GO:0043204 [Name: perikaryon]; GO:0030425 [Name: dendrite]; GO:0070852 [Name: cell body fiber]; GO:0043679 [Name: axon terminus]; GO:0016020 [Name: membrane]; GO:0005794 [Name: Golgi apparatus]	ILMN_2721406 [Chip: ]; ILMN_1237542 [Chip: ]	Q60748	
NM_009954	GO:0005730 [Name: nucleolus]; GO:0030054 [Name: cell junction]; GO:0030027 [Name: lamellipodium]; GO:0005886 [Name: plasma membrane]; GO:0005737 [Name: cytoplasm]; GO:0001726 [Name: ruffle]; GO:0005925 [Name: focal adhesion]; GO:0015629 [Name: actin cytoskeleton]	ILMN_2743133 [Chip: ]	Q61140	
NM_009955	GO:0043005 [Name: neuron projection]; GO:0030425 [Name: dendrite]; GO:0030426 [Name: growth cone]; GO:0005739 [Name: mitochondrion]; GO:0005737 [Name: cytoplasm]; GO:0005856 [Name: cytoskeleton]; GO:0043209 [Name: myelin sheath]; GO:0016020 [Name: membrane]; GO:0005829 [Name: cytosol]; GO:0005874 [Name: microtubule]; GO:0030424 [Name: axon]; GO:0043195 [Name: terminal bouton]; GO:0043234 [Name: protein complex]; GO:0043025 [Name: neuronal cell body]; GO:0070062 [Name: extracellular exosome]	ILMN_2451389 [Chip: ]; ILMN_2672647 [Chip: ]; ILMN_1240571 [Chip: ]; ILMN_2949596 [Chip: ]; ILMN_2619520 [Chip: ]; ILMN_2592538 [Chip: ]	O08553	
NM_009957	GO:0016020 [Name: membrane]	ILMN_1215440 [Chip: ]; ILMN_3155884 [Chip: ]; ILMN_1250379 [Chip: ]; ILMN_2677651 [Chip: ]; ILMN_2689952 [Chip: ]	-	
NM_009959	GO:0016020 [Name: membrane]	ILMN_2677651 [Chip: ]; ILMN_3155884 [Chip: ]; ILMN_1250379 [Chip: ]; ILMN_1215440 [Chip: ]; ILMN_2682345 [Chip: ]	-	
NM_009960	GO:0016020 [Name: membrane]	ILMN_2886128 [Chip: ]; ILMN_3155884 [Chip: ]; ILMN_2946047 [Chip: ]; ILMN_2677651 [Chip: ]; ILMN_1215440 [Chip: ]; ILMN_1250379 [Chip: ]	-	
NM_009961	GO:0016020 [Name: membrane]	ILMN_2677651 [Chip: ]; ILMN_2886128 [Chip: ]; ILMN_1215440 [Chip: ]; ILMN_1250379 [Chip: ]; ILMN_2757551 [Chip: ]; ILMN_3155884 [Chip: ]	Q91Y20	
NM_009962	GO:0005886 [Name: plasma membrane]; GO:0005887 [Name: integral component of plasma membrane]; GO:0005622 [Name: intracellular]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]; GO:0043005 [Name: neuron projection]	ILMN_1234360 [Chip: ]	Q9Z2J6	
NM_009963	GO:0005737 [Name: cytoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]	ILMN_1256483 [Chip: ]; ILMN_2665681 [Chip: ]	Q9R194	
NM_009964	GO:0014069 [Name: postsynaptic density]; GO:0070062 [Name: extracellular exosome]; GO:0097060 [Name: synaptic membrane]; GO:0097512 [Name: cardiac myofibril]; GO:0005794 [Name: Golgi apparatus]; GO:0009986 [Name: cell surface]; GO:0015630 [Name: microtubule cytoskeleton]; GO:0031674 [Name: I band]; GO:0043209 [Name: myelin sheath]; GO:0005739 [Name: mitochondrion]; GO:0030018 [Name: Z disc]; GO:0043204 [Name: perikaryon]; GO:0032432 [Name: actin filament bundle]; GO:0005886 [Name: plasma membrane]; GO:0043292 [Name: contractile fiber]; GO:0005829 [Name: cytosol]; GO:0005634 [Name: nucleus]; GO:0005737 [Name: cytoplasm]; GO:0043197 [Name: dendritic spine]; GO:0030424 [Name: axon]; GO:0031430 [Name: M band]; GO:0045202 [Name: synapse]	ILMN_2840213 [Chip: ]; ILMN_2687797 [Chip: ]	P23927	
NM_009965	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]	ILMN_2650204 [Chip: ]; ILMN_2728094 [Chip: ]; ILMN_2842725 [Chip: ]	-	
NM_009967	-	ILMN_2702266 [Chip: ]	O35486	
NM_009968	GO:0005829 [Name: cytosol]; GO:0005737 [Name: cytoplasm]; GO:0070062 [Name: extracellular exosome]	ILMN_1232686 [Chip: ]; ILMN_2965093 [Chip: ]; ILMN_1217341 [Chip: ]; ILMN_2637792 [Chip: ]	P47199	
NM_009969	GO:0005615 [Name: extracellular space]; GO:0005576 [Name: extracellular region]	ILMN_2749412 [Chip: ]	P01587	
NM_009970	GO:0005886 [Name: plasma membrane]; GO:0016020 [Name: membrane]; GO:0016021 [Name: integral component of membrane]	ILMN_1229406 [Chip: ]; ILMN_2866276 [Chip: ]	Q00941	
NM_009971	GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2614703 [Chip: ]; ILMN_2744018 [Chip: ]; ILMN_1217948 [Chip: ]	P09920	
NM_009972	GO:0005576 [Name: extracellular region]; GO:0005615 [Name: extracellular space]	ILMN_2621101 [Chip: ]	P10598; Q8BGL0	
NM_009973	GO:0005576 [Name: extracellular region]	ILMN_1251334 [Chip: ]; ILMN_1216296 [Chip: ]; ILMN_1221024 [Chip: ]; ILMN_2776470 [Chip: ]; ILMN_2875629 [Chip: ]	P02664	
NM_009974	GO:0005634 [Name: nucleus]; GO:0005956 [Name: protein kinase CK2 complex]; GO:0031519 [Name: PcG protein complex]	ILMN_2739039 [Chip: ]; ILMN_1228485 [Chip: ]; ILMN_2632447 [Chip: ]	O54833	
NM_009975	GO:0005737 [Name: cytoplasm]; GO:0005886 [Name: plasma membrane]; GO:0005634 [Name: nucleus]; GO:0005956 [Name: protein kinase CK2 complex]; GO:0031519 [Name: PcG protein complex]; GO:0070062 [Name: extracellular exosome]	ILMN_1224988 [Chip: ]; ILMN_2761215 [Chip: ]	G3UZX4; P67871	
NM_009976	GO:0031965 [Name: nuclear membrane]; GO:0005737 [Name: cytoplasm]; GO:0031982 [Name: vesicle]; GO:0070062 [Name: extracellular exosome]; GO:0005576 [Name: extracellular region]; GO:0005771 [Name: multivesicular body]; GO:0030424 [Name: axon]; GO:0043025 [Name: neuronal cell body]; GO:0005764 [Name: lysosome]; GO:0005604 [Name: basement membrane]; GO:0005615 [Name: extracellular space]; GO:0042995 [Name: cell projection]; GO:0043292 [Name: contractile fiber]; GO:0005783 [Name: endoplasmic reticulum]; GO:0048471 [Name: perinuclear region of cytoplasm]	ILMN_1257575 [Chip: ]	P21460	
NM_009977	GO:0005576 [Name: extracellular region]	ILMN_1244891 [Chip: ]	O89098	
NM_009978	GO:0005737 [Name: cytoplasm]; GO:0009986 [Name: cell surface]; GO:0005576 [Name: extracellular region]	ILMN_2707745 [Chip: ]	P32766	
NM_009979	GO:0005576 [Name: extracellular region]	ILMN_1239816 [Chip: ]	Q9Z0H6	
NM_009981	GO:0005737 [Name: cytoplasm]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0042587 [Name: glycogen granule]; GO:0016020 [Name: membrane]	ILMN_2508424 [Chip: ]; ILMN_2688728 [Chip: ]	P49586	
NM_009982	GO:0005783 [Name: endoplasmic reticulum]; GO:0005615 [Name: extracellular space]; GO:0005764 [Name: lysosome]; GO:0005794 [Name: Golgi apparatus]; GO:0070062 [Name: extracellular exosome]; GO:0016020 [Name: membrane]	ILMN_1238486 [Chip: ]; ILMN_3008858 [Chip: ]; ILMN_3008859 [Chip: ]; ILMN_2681965 [Chip: ]	P97821	
NM_009984	GO:0009897 [Name: external side of plasma membrane]; GO:0043005 [Name: neuron projection]; GO:0043204 [Name: perikaryon]; GO:0070062 [Name: extracellular exosome]; GO:0005773 [Name: vacuole]; GO:0005615 [Name: extracellular space]; GO:0030141 [Name: secretory granule]; GO:0005730 [Name: nucleolus]; GO:0031410 [Name: cytoplasmic vesicle]; GO:0005737 [Name: cytoplasm]; GO:0005902 [Name: microvillus]; GO:0045177 [Name: apical part of cell]; GO:0005764 [Name: lysosome]; GO:0005634 [Name: nucleus]	ILMN_2904703 [Chip: ]; ILMN_2652709 [Chip: ]	P06797	
NM_009985	GO:0005615 [Name: extracellular space]; GO:0016020 [Name: membrane]; GO:0005764 [Name: lysosome]	ILMN_2721399 [Chip: ]	P56203	
NM_009986	GO:0005794 [Name: Golgi apparatus]; GO:0030173 [Name: integral component of Golgi membrane]; GO:0016020 [Name: membrane]; GO:0005634 [Name: nucleus]; GO:0016021 [Name: integral component of membrane]; GO:0097458 [Name: neuron part]; GO:0005737 [Name: cytoplasm]; GO:0043005 [Name: neuron projection]	ILMN_1240019 [Chip: ]; ILMN_1229977 [Chip: ]; ILMN_2652187 [Chip: ]; ILMN_1231241 [Chip: ]; ILMN_1250346 [Chip: ]; ILMN_1223862 [Chip: ]	H3BLS0; H3BK24; E9QKE9; P53564; Q5BL05	
NM_009987	GO:0043005 [Name: neuron projection]; GO:0016021 [Name: integral component of membrane]; GO:0016020 [Name: membrane]; GO:0048471 [Name: perinuclear region of cytoplasm]; GO:0032809 [Name: neuronal cell body membrane]; GO:0005886 [Name: plasma membrane]	ILMN_2625126 [Chip: ]; ILMN_2625125 [Chip: ]	Q9Z0D9	
NM_009988	GO:0005886 [Name: plasma membrane]; GO:0005912 [Name: adherens junction]; GO:0030175 [Name: filopodium]; GO:0005923 [Name: bicellular tight junction]; GO:0016327 [Name: apicolateral plasma membrane]; GO:0045121 [Name: membrane raft]; GO:0016020 [Name: membrane]; GO:0030054 [Name: cell junction]; GO:0005911 [Name: cell-cell junction]; GO:0016323 [Name: basolateral plasma membrane]; GO:0005654 [Name: nucleoplasm]; GO:0014704 [Name: intercalated disc]; GO:0043234 [Name: protein complex]; GO:0016021 [Name: integral component of membrane]; GO:0001669 [Name: acrosomal vesicle]; GO:0005576 [Name: extracellular region]; GO:0005737 [Name: cytoplasm]; GO:0030426 [Name: growth cone]; GO:0005615 [Name: extracellular space]; GO:0043005 [Name: neuron projection]; GO:0031594 [Name: neuromuscular junction]; GO:0044297 [Name: cell body]	ILMN_1227308 [Chip: ]; ILMN_2607147 [Chip: ]; ILMN_2514369 [Chip: ]; ILMN_2514377 [Chip: ]; ILMN_3018017 [Chip: ]; ILMN_3089725 [Chip: ]	P97792	
NM_009989	GO:0005758 [Name: mitochondrial intermembrane space]; GO:0005739 [Name: mitochondrion]; GO:0070469 [Name: respiratory chain]	ILMN_1254801 [Chip: ]; ILMN_2624569 [Chip: ]	P00015	
NM_009990	GO:0005856 [Name: cytoskeleton]; GO:0005881 [Name: cytoplasmic microtubule]; GO:0035371 [Name: microtubule plus-end]; GO:1901588 [Name: dendritic microtubule]; GO:0005874 [Name: microtubule]; GO:0005737 [Name: cytoplasm]; GO:0042599 [Name: lamellar body]	ILMN_2698400 [Chip: ]; ILMN_2495703 [Chip: ]	Q9Z0H8	
NM_009991	GO:0005739 [Name: mitochondrion]; GO:0005743 [Name: mitochondrial inner membrane]; GO:0016020 [Name: membrane]; GO:0030425 [Name: dendrite]	ILMN_2748181 [Chip: ]; ILMN_2748174 [Chip: ]; ILMN_2860070 [Chip: ]	P15539	
NM_009992	GO:0005783 [Name: endoplasmic reticulum]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005739 [Name: mitochondrion]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]	ILMN_2613985 [Chip: ]	Q05A20; P00184	
NM_009993	GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_2739847 [Chip: ]; ILMN_2795106 [Chip: ]	P00186; B6VGH4	
NM_009994	GO:0005783 [Name: endoplasmic reticulum]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]	ILMN_1232716 [Chip: ]	Q64429	
NM_009995	GO:0005783 [Name: endoplasmic reticulum]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]	ILMN_2673575 [Chip: ]; ILMN_2879008 [Chip: ]	P03940	
NM_009996	GO:0005886 [Name: plasma membrane]; GO:0005654 [Name: nucleoplasm]; GO:0005739 [Name: mitochondrion]; GO:0005634 [Name: nucleus]	ILMN_2639900 [Chip: ]; ILMN_2639901 [Chip: ]	Q64441	
NM_009997	GO:0005737 [Name: cytoplasm]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005881 [Name: cytoplasmic microtubule]	ILMN_1250364 [Chip: ]	P15392	
NM_009998	-	-	-	
NM_009999	GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005737 [Name: cytoplasm]	ILMN_1215955 [Chip: ]; ILMN_2594926 [Chip: ]	-	
NM_010000	GO:0005737 [Name: cytoplasm]; GO:0016020 [Name: membrane]; GO:0005783 [Name: endoplasmic reticulum]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_2617625 [Chip: ]	P12790	
NM_010001	GO:0005737 [Name: cytoplasm]; GO:0005783 [Name: endoplasmic reticulum]; GO:0016020 [Name: membrane]; GO:0043231 [Name: intracellular membrane-bounded organelle]	ILMN_2730897 [Chip: ]	P56654	
NM_010002	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016020 [Name: membrane]; GO:0005737 [Name: cytoplasm]; GO:0005783 [Name: endoplasmic reticulum]	ILMN_2694623 [Chip: ]; ILMN_2694627 [Chip: ]	P56655	
